确诊/出院,公开报道时间,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,消息来源,来源链接1,来源链接2,来源链接3
1月28日,1月29日,江西,赣州市,6,0,0,江西卫计委,https://wap.peopleapp.com/article/5083994/4979021,,
1月28日,1月29日,江西,宜春市,4,0,0,江西卫计委,https://wap.peopleapp.com/article/5083994/4979021,,
1月28日,1月29日,江西,上饶市,2,0,0,江西卫计委,https://wap.peopleapp.com/article/5083994/4979021,,
1月28日,1月29日,江西,吉安市,1,0,0,江西卫计委,https://wap.peopleapp.com/article/5083994/4979021,,
1月28日,1月29日,江西,抚州市,1,0,0,江西卫计委,https://wap.peopleapp.com/article/5083994/4979021,,
1月28日,1月29日,法国,,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIbiLvH4tIbwpsYqjyWmus200129.shtml,,
1月28日,1月29日,马来西亚,,3,0,0,中新网,https://news.sina.com.cn/o/2020-01-29/doc-iihnzhha5174042.shtml,,
1月28日,1月29日,黑龙江,佳木斯市,2,0,0,佳木斯卫健委,http://www.jms.gov.cn/html/index//content/2020/1/52024db756a84af2a6cd09467922fccb.html,,
1月28日,1月29日,加拿大,,1,0,0,新华社,http://www.xinhuanet.com/2020-01/28/c_1125507683.htm,,
1月28日,1月29日,上海,浦东新区,3,0,0,上海卫健委,https://wap.peopleapp.com/article/5084116/4979140,,
1月28日,1月29日,上海,静安区,2,0,0,上海卫健委,https://wap.peopleapp.com/article/5084116/4979140,,
1月28日,1月29日,上海,黄浦区,1,0,0,上海卫健委,https://wap.peopleapp.com/article/5084116/4979140,,
1月28日,1月29日,上海,宝山区,1,0,0,上海卫健委,https://wap.peopleapp.com/article/5084116/4979140,,
1月28日,1月29日,上海,外地来沪,7,0,0,上海卫健委,https://wap.peopleapp.com/article/5084116/4979140,,
1月28日,1月29日,辽宁,朝阳市,1,0,0,辽宁卫健委,http://m.news.cctv.com/2020/01/29/ARTIqnWzkgCeGMHTvQpL9ocp200129.shtml,,
1月28日,1月29日,辽宁,葫芦岛市,1,0,0,辽宁卫健委,http://m.news.cctv.com/2020/01/29/ARTIqnWzkgCeGMHTvQpL9ocp200129.shtml,,
1月28日,1月29日,广西,南宁市,2,0,0,广西卫计委,https://wap.peopleapp.com/article/5084124/4979147,,
1月28日,1月29日,广西,北海市,2,0,0,广西卫计委,https://wap.peopleapp.com/article/5084124/4979147,,
1月28日,1月29日,广西,防城港市,2,0,0,广西卫计委,https://wap.peopleapp.com/article/5084124/4979147,,
1月28日,1月29日,广西,桂林市,1,0,0,广西卫计委,https://wap.peopleapp.com/article/5084124/4979147,,
1月28日,1月29日,河南,濮阳市,1,0,0,广西卫计委,https://wap.peopleapp.com/article/5084124/4979147,,
1月28日,1月29日,河南,郑州市,3,0,0,人民日报,https://wap.peopleapp.com/article/5084126/4979149,,
1月28日,1月29日,河南,开封市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084126/4979149,,
1月28日,1月29日,河南,安阳市,3,0,0,人民日报,https://wap.peopleapp.com/article/5084126/4979149,,
1月28日,1月29日,河南,鹤壁市,3,0,0,人民日报,https://wap.peopleapp.com/article/5084126/4979149,,
1月28日,1月29日,河南,新乡市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084126/4979149,,
1月28日,1月29日,河南,三门峡市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084126/4979149,,
1月28日,1月29日,河南,南阳市,5,0,0,人民日报,https://wap.peopleapp.com/article/5084126/4979149,,
1月28日,1月29日,河南,商丘市,7,0,0,人民日报,https://wap.peopleapp.com/article/5084126/4979149,,
1月28日,1月29日,河南,周口市,4,0,0,人民日报,https://wap.peopleapp.com/article/5084126/4979149,,
1月28日,1月29日,河南,信阳市,3,0,0,人民日报,https://wap.peopleapp.com/article/5084126/4979149,,
1月28日,1月29日,河南,驻马店市,6,0,0,人民日报,https://wap.peopleapp.com/article/5084126/4979149,,
1月28日,1月29日,山东,济南市,1,0,0,山东卫健委,http://m.news.cctv.com/2020/01/29/ARTIkf3VkjK5f4YFz5tJgXp1200129.shtml,,
1月28日,1月29日,山东,淄博市,2,0,0,山东卫健委,http://m.news.cctv.com/2020/01/29/ARTIkf3VkjK5f4YFz5tJgXp1200129.shtml,,
1月28日,1月29日,山东,枣庄市,3,0,0,山东卫健委,http://m.news.cctv.com/2020/01/29/ARTIkf3VkjK5f4YFz5tJgXp1200129.shtml,,
1月28日,1月29日,山东,潍坊市,2,0,0,山东卫健委,http://m.news.cctv.com/2020/01/29/ARTIkf3VkjK5f4YFz5tJgXp1200129.shtml,,
1月28日,1月29日,山东,泰安市,2,0,0,山东卫健委,http://m.news.cctv.com/2020/01/29/ARTIkf3VkjK5f4YFz5tJgXp1200129.shtml,,
1月28日,1月29日,山东,威海市,1,0,0,山东卫健委,http://m.news.cctv.com/2020/01/29/ARTIkf3VkjK5f4YFz5tJgXp1200129.shtml,,
1月28日,1月29日,山东,日照市,1,0,0,山东卫健委,http://m.news.cctv.com/2020/01/29/ARTIkf3VkjK5f4YFz5tJgXp1200129.shtml,,
1月28日,1月29日,山东,临沂市,7,0,0,山东卫健委,http://m.news.cctv.com/2020/01/29/ARTIkf3VkjK5f4YFz5tJgXp1200129.shtml,,
1月28日,1月29日,山东,德州市,3,0,0,山东卫健委,http://m.news.cctv.com/2020/01/29/ARTIkf3VkjK5f4YFz5tJgXp1200129.shtml,,
1月28日,1月29日,山东,滨州市,2,0,0,山东卫健委,http://m.news.cctv.com/2020/01/29/ARTIkf3VkjK5f4YFz5tJgXp1200129.shtml,,
1月28日,1月29日,山东,菏泽市,2,0,0,山东卫健委,http://m.news.cctv.com/2020/01/29/ARTIkf3VkjK5f4YFz5tJgXp1200129.shtml,,
1月28日,1月29日,安徽,合肥市,13,0,0,安徽卫健委,https://wap.peopleapp.com/article/5084170/4979191,,
1月28日,1月29日,安徽,亳州市,7,0,0,安徽卫健委,https://wap.peopleapp.com/article/5084170/4979191,,
1月28日,1月29日,安徽,宿州市,6,0,0,安徽卫健委,https://wap.peopleapp.com/article/5084170/4979191,,
1月28日,1月29日,安徽,阜阳市,2,0,0,安徽卫健委,https://wap.peopleapp.com/article/5084170/4979191,,
1月28日,1月29日,安徽,六安市,2,0,0,安徽卫健委,https://wap.peopleapp.com/article/5084170/4979191,,
1月28日,1月29日,安徽,马鞍山市,1,0,0,安徽卫健委,https://wap.peopleapp.com/article/5084170/4979191,,
1月28日,1月29日,安徽,芜湖市,2,0,0,安徽卫健委,https://wap.peopleapp.com/article/5084170/4979191,,
1月28日,1月29日,安徽,安庆市,6,0,0,安徽卫健委,https://wap.peopleapp.com/article/5084170/4979191,,
1月28日,1月29日,安徽,黄山市,3,0,0,安徽卫健委,https://wap.peopleapp.com/article/5084170/4979191,,
1月28日,1月29日,安徽,宿松市,4,0,0,安徽卫健委,https://wap.peopleapp.com/article/5084170/4979191,,
1月28日,1月29日,贵州,贵阳市,0,1,0,贵州卫健委,http://m.news.cctv.com/2020/01/29/ARTIqLvllMMYswW2599uJQa7200129.shtml,,
1月28日,1月29日,江苏,南京市,4,0,0,江苏卫健委,http://m.news.cctv.com/2020/01/29/ARTICbqKmcfUzvBRoWRjgdYe200129.shtml,,
1月28日,1月29日,江苏,苏州市,8,0,0,江苏卫健委,http://m.news.cctv.com/2020/01/29/ARTICbqKmcfUzvBRoWRjgdYe200129.shtml,,
1月28日,1月29日,江苏,无锡市,3,0,0,江苏卫健委,http://m.news.cctv.com/2020/01/29/ARTICbqKmcfUzvBRoWRjgdYe200129.shtml,,
1月28日,1月29日,江苏,淮安市,1,0,0,江苏卫健委,http://m.news.cctv.com/2020/01/29/ARTICbqKmcfUzvBRoWRjgdYe200129.shtml,,
1月28日,1月29日,江苏,盐城市,5,0,0,江苏卫健委,http://m.news.cctv.com/2020/01/29/ARTICbqKmcfUzvBRoWRjgdYe200129.shtml,,
1月28日,1月29日,江苏,扬州市,3,0,0,江苏卫健委,http://m.news.cctv.com/2020/01/29/ARTICbqKmcfUzvBRoWRjgdYe200129.shtml,,
1月28日,1月29日,江苏,泰州市,4,0,0,江苏卫健委,http://m.news.cctv.com/2020/01/29/ARTICbqKmcfUzvBRoWRjgdYe200129.shtml,,
1月28日,1月29日,江苏,宿迁市,1,0,0,江苏卫健委,http://m.news.cctv.com/2020/01/29/ARTICbqKmcfUzvBRoWRjgdYe200129.shtml,,
1月28日,1月29日,浙江,杭州市,19,0,0,健康浙江,https://c.m.163.com/news/a/F420FOSK0001899O.html?spss=newsapp,,
1月28日,1月29日,浙江,宁波市,3,0,0,健康浙江,https://c.m.163.com/news/a/F420FOSK0001899O.html?spss=newsapp,,
1月28日,1月29日,浙江,温州市,54,0,0,健康浙江,https://c.m.163.com/news/a/F420FOSK0001899O.html?spss=newsapp,,
1月28日,1月29日,浙江,湖州市,2,0,0,健康浙江,https://c.m.163.com/news/a/F420FOSK0001899O.html?spss=newsapp,,
1月28日,1月29日,浙江,嘉兴市,3,0,0,健康浙江,https://c.m.163.com/news/a/F420FOSK0001899O.html?spss=newsapp,,
1月28日,1月29日,浙江,绍兴市,12,0,0,健康浙江,https://c.m.163.com/news/a/F420FOSK0001899O.html?spss=newsapp,,
1月28日,1月29日,浙江,金华市,6,0,0,健康浙江,https://c.m.163.com/news/a/F420FOSK0001899O.html?spss=newsapp,,
1月28日,1月29日,浙江,衢州市,3,0,0,健康浙江,https://c.m.163.com/news/a/F420FOSK0001899O.html?spss=newsapp,,
1月28日,1月29日,浙江,舟山市,2,0,0,健康浙江,https://c.m.163.com/news/a/F420FOSK0001899O.html?spss=newsapp,,
1月28日,1月29日,浙江,台州市,18,0,0,健康浙江,https://c.m.163.com/news/a/F420FOSK0001899O.html?spss=newsapp,,
1月28日,1月29日,浙江,丽水市,1,0,0,健康浙江,https://c.m.163.com/news/a/F420FOSK0001899O.html?spss=newsapp,,
1月28日,1月29日,四川,成都市,9,0,0,人民日报,https://wap.peopleapp.com/article/5084197/4979215,,
1月28日,1月29日,四川,泸州市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084197/4979215,,
1月28日,1月29日,四川,德阳市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084197/4979215,,
1月28日,1月29日,四川,广元市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084197/4979215,,
1月28日,1月29日,四川,内江市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084197/4979215,,
1月28日,1月29日,四川,宜宾市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084197/4979215,,
1月28日,1月29日,四川,南充市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084197/4979215,,
1月28日,1月29日,四川,达州市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084197/4979215,,
1月28日,1月29日,四川,巴中市,2,0,0,人民日报,https://wap.peopleapp.com/article/5084197/4979215,,
1月28日,1月29日,湖南,长沙市,22,0,0,人民日报,https://wap.peopleapp.com/article/5084200/4979218,,
1月28日,1月29日,湖南,衡阳市,10,0,0,人民日报,https://wap.peopleapp.com/article/5084200/4979218,,
1月28日,1月29日,湖南,株洲市,6,0,0,人民日报,https://wap.peopleapp.com/article/5084200/4979218,,
1月28日,1月29日,湖南,湘潭市,2,0,0,人民日报,https://wap.peopleapp.com/article/5084200/4979218,,
1月28日,1月29日,湖南,邵阳市,8,0,0,人民日报,https://wap.peopleapp.com/article/5084200/4979218,,
1月28日,1月29日,湖南,岳阳市,9,0,0,人民日报,https://wap.peopleapp.com/article/5084200/4979218,,
1月28日,1月29日,湖南,常德市,7,0,0,人民日报,https://wap.peopleapp.com/article/5084200/4979218,,
1月28日,1月29日,湖南,益阳市,4,0,0,人民日报,https://wap.peopleapp.com/article/5084200/4979218,,
1月28日,1月29日,湖南,永州市,4,0,0,人民日报,https://wap.peopleapp.com/article/5084200/4979218,,
1月28日,1月29日,湖南,怀化市,2,0,0,人民日报,https://wap.peopleapp.com/article/5084200/4979218,,
1月28日,1月29日,湖南,娄底市,4,0,0,人民日报,https://wap.peopleapp.com/article/5084200/4979218,,
1月28日,1月29日,黑龙江,鸡西市,1,0,0,黑龙江卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Arti8dhzOIW5UImC2xRGET5h200129&fromapp=cctvnews&version=803&version=803&allow_comment=1,,
1月28日,1月29日,黑龙江,哈尔滨市,1,0,0,黑龙江卫健委,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Arti8dhzOIW5UImC2xRGET5h200129&fromapp=cctvnews&version=803&version=803&allow_comment=1,,
1月28日,1月29日,河北,保定市,3,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTImtUIBGUc8RxuqJrw7baS200129.shtml,,
1月28日,1月29日,河北,沧州市,3,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTImtUIBGUc8RxuqJrw7baS200129.shtml,,
1月28日,1月29日,河北,廊坊市,3,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTImtUIBGUc8RxuqJrw7baS200129.shtml,,
1月28日,1月29日,河北,唐山市,2,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTImtUIBGUc8RxuqJrw7baS200129.shtml,,
1月28日,1月29日,河北,石家庄市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTImtUIBGUc8RxuqJrw7baS200129.shtml,,
1月28日,1月29日,河北,衡水市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTImtUIBGUc8RxuqJrw7baS200129.shtml,,
1月28日,1月29日,河北,张家口市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTImtUIBGUc8RxuqJrw7baS200129.shtml,,
1月28日,1月29日,河北,邢台市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTImtUIBGUc8RxuqJrw7baS200129.shtml,,
1月28日,1月29日,甘肃,平凉市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTISWrLIzMWzsk4rCyhYDls200129.shtml,,
1月28日,1月29日,甘肃,兰州市,3,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTISWrLIzMWzsk4rCyhYDls200129.shtml,,
1月28日,1月29日,甘肃,张掖市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTISWrLIzMWzsk4rCyhYDls200129.shtml,,
1月28日,1月29日,广东,河源市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,茂名市,2,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,深圳市,14,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,广州市,12,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,中山市,6,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,东莞市,5,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,珠海市,2,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,湛江市,2,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,揭阳市,2,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,阳江市,2,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,汕头市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,惠州市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,肇庆市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,梅州市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,广东,清远市,1,0,0,人民日报,https://wap.peopleapp.com/article/5084273/4979291,,
1月28日,1月29日,重庆,万州区,2,0,0,重庆卫健委,http://m.news.cctv.com/2020/01/29/ARTIypfvyyyC1aa3LLJzpV17200129.shtml,,
1月28日,1月29日,重庆,渝中区,1,0,0,重庆卫健委,http://m.news.cctv.com/2020/01/29/ARTIypfvyyyC1aa3LLJzpV17200129.shtml,,
1月28日,1月29日,重庆,江北区,1,0,0,重庆卫健委,http://m.news.cctv.com/2020/01/29/ARTIypfvyyyC1aa3LLJzpV17200129.shtml,,
1月28日,1月29日,重庆,合川区,1,0,0,重庆卫健委,http://m.news.cctv.com/2020/01/29/ARTIypfvyyyC1aa3LLJzpV17200129.shtml,,
1月28日,1月29日,重庆,綦江区,2,0,0,重庆卫健委,http://m.news.cctv.com/2020/01/29/ARTIypfvyyyC1aa3LLJzpV17200129.shtml,,
1月28日,1月29日,重庆,璧山区,1,0,0,重庆卫健委,http://m.news.cctv.com/2020/01/29/ARTIypfvyyyC1aa3LLJzpV17200129.shtml,,
1月28日,1月29日,重庆,开州区,2,0,0,重庆卫健委,http://m.news.cctv.com/2020/01/29/ARTIypfvyyyC1aa3LLJzpV17200129.shtml,,
1月28日,1月29日,重庆,忠县,2,0,0,重庆卫健委,http://m.news.cctv.com/2020/01/29/ARTIypfvyyyC1aa3LLJzpV17200129.shtml,,
1月28日,1月29日,重庆,云阳县,1,0,0,重庆卫健委,http://m.news.cctv.com/2020/01/29/ARTIypfvyyyC1aa3LLJzpV17200129.shtml,,
1月28日,1月29日,重庆,奉节县,1,0,0,重庆卫健委,http://m.news.cctv.com/2020/01/29/ARTIypfvyyyC1aa3LLJzpV17200129.shtml,,
1月28日,1月29日,重庆,石柱县,1,0,0,重庆卫健委,http://m.news.cctv.com/2020/01/29/ARTIypfvyyyC1aa3LLJzpV17200129.shtml,,
1月28日,1月29日,福建,厦门市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTItaWpxZ0KWQhKRNAEtPpt200129.shtml,,
1月28日,1月29日,福建,宁德市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTItaWpxZ0KWQhKRNAEtPpt200129.shtml,,
1月28日,1月29日,新疆,乌鲁木齐市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIxY6f7Ee83rFpOALf92XV200129.shtml,,
1月28日,1月29日,新疆,伊犁州,2,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIxY6f7Ee83rFpOALf92XV200129.shtml,,
1月28日,1月29日,海南,海口市,2,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIf0menirrkjGyB7Cl9oso200129.shtml,,
1月28日,1月29日,海南,万宁市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIf0menirrkjGyB7Cl9oso200129.shtml,,
1月28日,1月29日,吉林,通化市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIsG2uvqZfx0QisNfIHPt2200129.shtml,,
1月28日,1月29日,河南,NA,0,1,1,新京报,https://baijiahao.baidu.com/s?id=1657019725962362908&wfr=spider&for=pc,,
1月28日,1月29日,宁夏,吴忠市,1,0,0,宁夏广电新闻中心,https://mp.weixin.qq.com/s/i3pR-dqHhBPbgJsCyJqdcA,,
1月28日,1月29日,重庆,,0,1,0,央视,http://m.news.cctv.com/2020/01/29/ARTIckNNM2TuGjZ7Ykm36dSU200129.shtml,,
1月29日,1月29日,内蒙古,巴彦淖尔市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIkmscsHZl229i5COsmMo1200129.shtml,,
1月29日,1月29日,陕西,西安市,3,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIRNoCSudStRnoTOCTvEem200129.shtml,,
1月29日,1月29日,陕西,宝鸡市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIRNoCSudStRnoTOCTvEem200129.shtml,,
1月29日,1月29日,陕西,咸阳市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIRNoCSudStRnoTOCTvEem200129.shtml,,
1月29日,1月29日,陕西,延安市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIRNoCSudStRnoTOCTvEem200129.shtml,,
1月29日,1月29日,陕西,汉中市,2,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIRNoCSudStRnoTOCTvEem200129.shtml,,
1月29日,1月29日,陕西,安康市,2,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIRNoCSudStRnoTOCTvEem200129.shtml,,
1月29日,1月29日,辽宁,葫芦岛市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIMNBWXpQ2EzrBmBy8dCLt200129.shtml,,
1月28日,1月29日,云南,昆明市,3,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTI6udFwC6oZfsU1rHhiatb200129.shtml,,
1月28日,1月29日,云南,曲靖市,3,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTI6udFwC6oZfsU1rHhiatb200129.shtml,,
1月28日,1月29日,云南,普洱市,1,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTI6udFwC6oZfsU1rHhiatb200129.shtml,,
1月29日,1月29日,四川,成都市,0,1,0,人民日报,https://weibo.com/2803301701/IrI0TpshW,,
1月29日,1月29日,安徽,合肥市,0,1,0,央视,https://weibo.com/2656274875/IrIeS75oz,,
1月29日,1月29日,安徽,亳州市,0,1,0,央视,https://weibo.com/2656274875/IrIeS75oz,,
1月29日,1月29日,北京,西城区,1,0,0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihOUoTn6RM7n2HDBWQbaU200129&fromapp=cctvnews&version=803&allow_comment=1,,
1月29日,1月29日,北京,朝阳区,2,0,0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihOUoTn6RM7n2HDBWQbaU200129&fromapp=cctvnews&version=803&allow_comment=1,,
1月29日,1月29日,北京,丰台区,1,0,0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihOUoTn6RM7n2HDBWQbaU200129&fromapp=cctvnews&version=803&allow_comment=1,,
1月29日,1月29日,北京,海淀区,2,0,0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihOUoTn6RM7n2HDBWQbaU200129&fromapp=cctvnews&version=803&allow_comment=1,,
1月29日,1月29日,北京,门头沟区,1,0,0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihOUoTn6RM7n2HDBWQbaU200129&fromapp=cctvnews&version=803&allow_comment=1,,
1月29日,1月29日,北京,昌平区,1,0,0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihOUoTn6RM7n2HDBWQbaU200129&fromapp=cctvnews&version=803&allow_comment=1,,
1月29日,1月29日,北京,大兴区,3,0,0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtihOUoTn6RM7n2HDBWQbaU200129&fromapp=cctvnews&version=803&allow_comment=1,,
1月29日,1月29日,上海,,0,1,0,上海卫健委,https://m.thepaper.cn/newsDetail_forward_5672233,,
1月29日,1月29日,天津,武清区,1,0,0,天津卫健委,http://wsjk.tj.gov.cn/art/2020/1/29/art_14_70297.html,,
1月29日,1月29日,天津,和平区,1,0,0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtiTFPHz49HPpwENKRnVZLd200129&fromapp=cctvnews&version=803&allow_comment=1,,
1月29日,1月29日,天津,滨海新区,1,0,0,央视,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtiTFPHz49HPpwENKRnVZLd200129&fromapp=cctvnews&version=803&allow_comment=1,,
1月29日,1月29日,湖北,武汉市,0,4,0,长江日报,https://static.cdsb.com/micropub/Articles/202001/271f65599537c5c936fcf4acf53f8dc2.html?fromUdid=CAFF13A7-FEAC-4B72-AE2D-497A40CC5C91,,
1月29日,1月29日,阿联酋,,1,0,0,阿联酋卫生和预防部,http://m.news.cctv.com/2020/01/29/ARTIiyAJxkOIwNF5XJLxtX5w200129.shtml,,
1月27日,1月28日,天津,河东区,1,0,0,天津卫健委,https://www.jiemian.com/article/3919184.html,,
